SQLHash,TotalExecutions,TotalDiskReads,TotalBufferGets,TotalRowsReturned,AvgBufferGetsPerExec,AvgDiskReadsPerExec,SQLPreview
5007297860,172402,1383,1040663580,17342,6036.26,0.01,"updlock,rowlock)
    join Detail on Detail.DetailId = inserted.DetailId
    join Items on Items.ItemId = Detail.ItemId
--	          and coalesce(Items.DistrictId,0) != 0
    join Requisitions on R"
5007297860,172402,1383,1040663580,17342,6036.26,0.01,"d,
         CatalogPage = CrossRefs.Page,
         PricePlanId = BidHeaders.PricePlanId,
         AwardId = Awards.AwardId,
         VendorId = Bids.VendorId,
         VendorItemCode = CrossRefs."
5007297860,172402,1383,1040663580,17342,6036.26,0.01,"ds.VendorId,
         VendorItemCode = case coalesce(rtrim(Items.VendorPartNumber),'') when '' then 'N/A' else Items.VendorPartNumber end,
         Alternate = null,
         BidItemId = null,
   "
5007297860,172402,1383,1040663580,17342,6036.26,0.01,"CREATE TRIGGER [dbo].[trig_DetailUpdate] on [dbo].[Detail] 
after INSERT, UPDATE not for replication
AS
set nocount on
declare @BidsList table (RequisitionId int, BidHeaderId int null)
declare @C"
5007297860,172402,1383,1040663580,17342,6036.26,0.01,"ions.RequisitionId

  -- Remap items with new Id's
  Update Detail
     set ItemId = MappedItems.NewItemId,
         OriginalItemId = coalesce(Detail.OriginalItemId,MappedItems.OrigItemId),
    "
3653786764,2891,166117,1012106869,545,350088.85,57.46,"egcalendar.bscid = BidScheduleCats.BSCId
 where regcalendar.regcalendarid is null
 group by registrations.registrationid, BidScheduleCats.BSCId--, bidcalendar.calendarid
 order by registrations.reg"
3653786764,2891,166117,1012106869,545,350088.85,57.46,"endorcontactid = VendorContacts.VendorContactId
 where regusers.reguserId is null

--Deactive Deleted Contacts 
update regusers
   set active = 0
--select * 
  from regusers
  left outer join "
3653786764,2891,166117,1012106869,545,350088.85,57.46,"-- insert new vendors
insert registrations (active, vendorid, code, password, email, name, address1, address2, address3, city, state, zipcode, phone, fax, contact)
select vendors.active, vendors.ven"
3958497114,1,32,1009822362,0,1009822362.0,32.0,"SELECT  A.VENDORID, A.CODE, A.NAME, A.USEGROSSPRICES, B.VENDORCONTACTID, B.VENDORID, B.ACTIVE, B.EMAIL, B.BIDCONTACT, B.POCONTACT, B.FULLNAME FROM dbo.Vendors A, dbo.VendorContacts B WHERE ( Isnull(A."
3253755176,201544,250350,973198328,108537,4828.71,1.24,"+' + convert(varchar,cast(ShippingCost as money),1) + char(10) +
					'-----------------------' + char(10) +
					'Grand Total:' + replicate('&nbsp;',(10 - (cast(Len(convert(varchar,cast((BidPrice * Q"
3253755176,201544,250350,973198328,108537,4828.71,1.24,"(@P0 int,@P1 int,@P2 int,@P3 nvarchar(4000),@P4 int,@P5 int,@P6 int,@P7 nvarchar(4000))SELECT DetailId, ItemId, Quantity, LastYearsQuantity, Description, UnitCode, BidPrice, /*Extended,*/ LastAlteredS"
3253755176,201544,250350,973198328,108537,4828.71,1.24,"				, '<div class=""' + case when AdditionalShipping = 1 then 'req-ticker-info' else '' end + '"" style=""white-space:nowrap;' + case when ShippingUpdateRequired = 1 then 'color:var(--error-color) !impor"
5931132573,722,3390392,958346479,61,1327349.69,4695.83,"insert DMSBidDocuments (BidHeaderId, BidNbr, DocType, DocId, DistrictVisible, PagesCaptured, FileName)
select v.BidHeaderId, v.BidNbr, v.DocType, v.DocId, v.DistrictVisible, v.PagesCaptured, v.FileNa"
3023044856,30,41974283,886248567,0,29541618.9,1399142.77,"declare @BidHeaderId int

-- Find Bids needing Price Update
declare ub cursor for
select BidHeaders.BidHeaderId
  from BidHeaders
  join Bids on Bids.BidHeaderId = BidHeaders.BidHeaderId
      "
3023044856,30,41974283,886248567,0,29541618.9,1399142.77,"a on PricingAddenda.ItemId = Items.ItemId and PricingAddenda.CrossRefId = CrossRefs.CrossRefId
  where Items.DistrictId > 0
    and (LastBid.DateCreated > dateadd(year,-4,getdate())
	     or CrossR"
6116961778,1,2962805,726393093,1,726393093.0,2962805.0,"
            SELECT
                COUNT(DISTINCT s.[ItemId]) AS total_distinct,
                COUNT(DISTINCT CASE WHEN t.[ItemId] IS NOT NULL THEN s.[ItemId] END) AS matched
            FROM [dbo]"
